,lag,correlation
0,-36,-0.7387690943728382
1,-35,-0.7425035879826362
2,-34,-0.746264912200213
3,-33,-0.7500476686065443
4,-32,-0.7538471535560054
5,-31,-0.7576592618079523
6,-30,-0.7614804052261399
7,-29,-0.7653074439005062
8,-28,-0.7691376275613794
9,-27,-0.7729685455613126
10,-26,-0.7767980840205709
11,-25,-0.7806243889875447
12,-24,-0.7820049935595148
13,-23,-0.7837603208073064
14,-22,-0.7854905668805552
15,-21,-0.7871961211165619
16,-20,-0.7888773845072307
17,-19,-0.7905347666828086
18,-18,-0.7921686833287659
19,-17,-0.7937795539758286
20,-16,-0.7953678001118708
21,-15,-0.7969338435717653
22,-14,-0.7984781051674519
23,-13,-0.8000010035257946
24,-12,-0.8055066594537426
25,-11,-0.8054356513486143
26,-10,-0.805386530444809
27,-9,-0.8053587029589399
28,-8,-0.8053515963305217
29,-7,-0.8053646582792465
30,-6,-0.8053973559123163
31,-5,-0.8054491748787371
32,-4,-0.8055196185677197
33,-3,-0.8056082073484904
34,-2,-0.8057144778490466
35,-1,-0.8058379822715107
36,0,-0.8070407010057689
37,1,-0.802170748321165
38,2,-0.7973126843817456
39,3,-0.7924668571721288
40,4,-0.78763362921563
41,5,-0.7828133783686152
42,6,-0.7780064986685729
43,7,-0.773213401240284
44,8,-0.7684345152647762
45,9,-0.7636702890163396
46,10,-0.7589211909732343
47,11,-0.7541877110084076
48,12,-0.7494703616670798
49,13,-0.7457906658113705
50,14,-0.7421358125826926
51,15,-0.7385065552381583
52,16,-0.7349036795912307
53,17,-0.7313280058575254
54,18,-0.7277803906307675
55,19,-0.7242617289998752
56,20,-0.7207729568193129
57,21,-0.7173150531459747
58,22,-0.7138890428572968
59,23,-0.7104959994667503
60,24,-0.7071370481545967
61,25,-0.7019005473171391
62,26,-0.6966742809564631
63,27,-0.6914585595525152
64,28,-0.6862537072223146
65,29,-0.6810600625126012
66,30,-0.6758779792499953
67,31,-0.6707078274536706
68,32,-0.6655499943160271
69,33,-0.6604048852575009
70,34,-0.6552729250621833
71,35,-0.6501545591017281
72,36,-0.6450502546557253
