,lag,correlation
0,-36,0.027734344668422374
1,-35,0.010136703850801511
2,-34,-0.007424133851372747
3,-33,-0.024948773546778834
4,-32,-0.04243780703756356
5,-31,-0.059891813185844925
6,-30,-0.07731135826808824
7,-29,-0.09469699631782352
8,-28,-0.11204926945715275
9,-27,-0.12936870821747612
10,-26,-0.14665583184984332
11,-25,-0.16391114862532424
12,-24,-0.17880418285496463
13,-23,-0.19892014367998923
14,-22,-0.2189023887750726
15,-21,-0.2387539533127432
16,-20,-0.2584777779710297
17,-19,-0.2780767126827929
18,-18,-0.2975535202043199
19,-17,-0.3169108795134263
20,-16,-0.3361513890466269
21,-15,-0.3552775697843399
22,-14,-0.3742918681924991
23,-13,-0.3931966590284449
24,-12,-0.41695292408628937
25,-11,-0.4212606004736162
26,-10,-0.4255679391433478
27,-9,-0.4298749445196492
28,-8,-0.4341816209505585
29,-7,-0.4384879727096105
30,-6,-0.44279400399741065
31,-5,-0.4470997189431667
32,-4,-0.45140512160619234
33,-3,-0.4557102159773647
34,-2,-0.46001500598054995
35,-1,-0.46431949547398993
36,0,-0.47099925541343457
37,1,-0.4489018370228203
38,2,-0.42952727457845763
39,3,-0.4099573667175192
40,4,-0.3901866438144242
41,5,-0.3702094189594612
42,6,-0.35001977661727596
43,7,-0.32961156054614155
44,8,-0.3089783609199323
45,9,-0.2881135005894088
46,10,-0.26701002041346206
47,11,-0.2456606635844342
48,12,-0.22405785886433396
49,13,-0.204002870394609
50,14,-0.1960734994417059
51,15,-0.18757132520740266
52,16,-0.17841713190004152
53,17,-0.16851232849090472
54,18,-0.15773168933666268
55,19,-0.14591225221706625
56,20,-0.13283561670651878
57,21,-0.11819825522570558
58,22,-0.10155849664410664
59,23,-0.08223397293922449
60,24,-0.059081091926449024
61,25,-0.07829482479699229
62,26,-0.07308198346263725
63,27,-0.06783494554268651
64,28,-0.06255260206393269
65,29,-0.0572337942490378
66,30,-0.05187731062295563
67,31,-0.046481883911435255
68,32,-0.04104618771370528
69,33,-0.035568832929635474
70,34,-0.030048363919660304
71,35,-0.024483254373496743
72,36,-0.018871902861176817
